outlet,nb_reviews,abs_meta_avg,abs_meta_med,sd_meta,abs_user_avg,abs_user_med,sd_user
IGN,256,5.125,4.0,6.8335201433097135,17.440944881889763,12.0,19.842882902122753
GameSpot,214,6.11214953271028,4.5,7.717734392855141,16.291079812206572,11.0,20.147982074671464
Multiplayer.it,181,6.171270718232044,4.0,7.737236266654943,22.96132596685083,15.0,21.88187215565018
Game Informer,180,5.466666666666667,4.0,7.137768161442712,19.955307262569832,13.0,19.98308555986476
Everyeye.it,165,5.581818181818182,4.0,6.760674951107372,23.52121212121212,17.0,20.410962519758854
Vandal,154,4.883116883116883,4.0,5.429065064515941,22.07843137254902,15.0,20.187168147760037
GamingTrend,142,7.373239436619718,5.0,9.779011097046583,20.214285714285715,11.5,21.270658297742497
SpazioGames,139,5.64748201438849,4.0,7.309824309497526,21.302158273381295,15.0,19.96567015075794
GamesRadar+,138,7.188405797101449,6.0,9.034121994035177,20.333333333333332,15.0,22.674535506973406
Metro GameCentral,134,9.380597014925373,7.0,9.202948130487727,15.343283582089553,9.0,20.79821129537816
Hardcore Gamer,133,7.315789473684211,6.0,9.588420049364869,22.2406015037594,15.0,22.877533127214242
Worth Playing,131,5.519083969465649,4.0,7.792275260070966,15.961538461538462,10.0,18.114834451118046
COGconnected,128,6.671875,5.0,8.004535500744385,24.346456692913385,18.0,20.176474264246046
Edge Magazine,127,8.84251968503937,6.0,9.29017419551039,14.428571428571429,11.0,18.275854484615955
IGN Italia,124,5.725806451612903,5.0,7.044406001500659,24.443548387096776,17.0,20.88595504829908
Jeuxvideo.com,122,5.483606557377049,4.0,7.350132970289554,26.262295081967213,21.5,22.14506740330017
Eurogamer,120,10.875,8.0,12.759505162379751,15.3109243697479,11.0,20.089331901068938
Gaming Age,115,10.060869565217391,7.0,13.650715328711065,20.973913043478262,14.0,22.30243545001954
Meristation,114,5.052631578947368,4.0,6.1255051532926705,22.280701754385966,14.5,20.708638160376033
Destructoid,111,6.774774774774775,6.0,8.468354156093268,17.882882882882882,11.0,18.924177343400906
Gameblog.fr,109,7.954128440366972,7.0,9.764331408546584,20.431192660550458,14.0,21.244399233933102
Games.cz,108,8.046296296296296,5.5,9.635674707470654,17.40740740740741,13.0,17.428675797330666
TheSixthAxis,108,7.537037037037037,6.0,10.397233170309526,20.61111111111111,15.0,20.18051111170538
Impulsegamer,107,8.037383177570094,6.0,9.772604116533115,28.074766355140188,22.0,21.15446879482402
The Games Machine,107,6.364485981308412,5.0,6.206023206092755,28.50943396226415,21.5,22.295797935273143
Game Revolution,107,7.719626168224299,5.0,9.67688164860933,15.14018691588785,9.0,20.86583757173657
God is a Geek,106,7.650943396226415,7.0,6.7224597068582295,27.50943396226415,22.5,19.279548446990564
Gaming Nexus,105,7.190476190476191,5.0,9.278781576574994,20.466666666666665,14.0,19.241129443747898
Cheat Code Central,104,6.711538461538462,4.0,9.106620953074327,16.673076923076923,11.0,19.434144171313452
CD-Action,103,6.41747572815534,4.0,8.723659054472868,17.83495145631068,12.0,18.140959793652414
PC Gamer,100,5.95,4.0,8.508219436509497,19.25,14.0,20.849811664968257
GameOver.gr,100,6.35,5.0,7.869766980237237,20.42,14.5,20.0815911478723
Hobby Consolas,97,7.185567010309279,6.0,6.658892589272177,27.835051546391753,20.0,21.183993909037653
CGMagazine,95,8.136842105263158,7.0,10.356014314146346,22.53684210526316,17.0,19.570803493574264
Shacknews,93,8.279569892473118,7.0,10.776903775155558,22.64516129032258,19.0,20.178081647226325
Gamer.nl,93,5.311827956989247,4.0,6.731267185624389,18.698924731182796,11.0,18.88097236226338
Push Square,90,7.111111111111111,6.0,8.515653501452721,22.988888888888887,15.5,20.396387161417877
GameCritics,89,11.853932584269662,9.0,13.169438729321474,15.022727272727273,12.0,19.218482048450237
GRYOnline.pl,86,5.790697674418604,4.0,7.34791072793236,19.27906976744186,14.0,16.633179308201086
Digital Chumps,85,8.705882352941176,7.0,7.960476598487682,29.464285714285715,26.0,21.54365206618469
Twinfinite,85,7.470588235294118,6.0,9.83676292089551,26.28235294117647,19.0,22.032221120599775
DualShockers,84,7.214285714285714,5.0,9.811008137063144,22.5,18.0,19.45932987591649
Gamer.no,84,9.30952380952381,6.0,12.139653993505847,17.785714285714285,13.5,20.09082932171278
GamingBolt,80,7.8,6.0,9.863595000257964,21.2125,15.5,19.03789940944249
GameStar,79,6.518987341772152,5.0,7.921658772128776,23.354430379746834,20.0,18.977146781524958
PC Games,79,5.481012658227848,5.0,6.922391685948136,20.443037974683545,14.0,19.59153650174454
Screen Rant,79,9.556962025316455,7.0,12.966789026455432,25.088607594936708,18.0,24.0940828752783
IGN Spain,78,5.653846153846154,4.0,7.0233543145356,21.512820512820515,16.0,18.698120590575773
VideoGamer,78,6.3076923076923075,5.0,8.242414448290983,15.0,11.0,18.989121796090167
PlayStation Universe,76,6.2368421052631575,5.0,7.755790140388946,24.710526315789473,18.0,20.353869410998982
4P.de,74,5.283783783783784,4.0,7.026487676165801,18.87837837837838,14.0,19.503732827957865
Checkpoint Gaming,74,6.445945945945946,5.0,8.465591221401997,21.569444444444443,18.0,18.332474371683148
TheGamer,72,8.708333333333334,6.0,11.779061221297988,24.75,16.5,23.954622594855714
Eurogamer Italy,72,6.041666666666667,5.0,7.413019359548383,21.069444444444443,11.0,21.084778383924682
Guardian,72,9.86111111111111,7.0,12.404249864884418,22.464788732394368,15.0,20.457562690295347
GameZone,72,6.444444444444445,3.0,9.00842936848655,14.647887323943662,10.0,16.767711138403044
XGN,70,5.7,4.0,7.883060960281841,20.7,14.5,21.18431878345019
Atomix,70,6.557142857142857,5.0,7.7214578269317045,27.942857142857143,23.0,20.50832280679788
JeuxActu,70,5.6,5.0,7.448650995738403,24.685714285714287,16.0,22.91926599224304
Press Start Australia,69,6.043478260869565,5.0,7.318593261797536,22.73913043478261,18.0,18.238965062396346
Wccftech,69,6.565217391304348,6.0,8.450396864119774,25.884057971014492,20.0,22.2846614986052
PLAY! Zine,69,8.63768115942029,4.0,11.671330209068067,21.304347826086957,14.0,20.164033210003343
PlaySense,69,6.246376811594203,5.0,8.169428174128353,22.52173913043478,16.0,19.052469392189664
IGN France,66,6.242424242424242,5.0,7.915933593834947,19.984848484848484,14.0,18.181787296011063
Games Master UK,66,6.166666666666667,3.0,9.138471152860035,16.12121212121212,9.0,18.862673887878838
Digital Trends,66,8.712121212121213,7.0,10.469859059125328,24.272727272727273,17.0,23.103900315535682
ZTGD,66,5.515151515151516,4.0,7.378795297785408,13.696969696969697,11.0,13.220877746640289
Areajugones,65,7.046153846153846,6.0,6.689723749614318,25.584615384615386,18.0,20.63528298439723
GamePro,65,6.753846153846154,6.0,7.919577737383575,13.753846153846155,11.0,13.927231902339333
Game Rant,64,8.21875,7.0,10.639660753632183,23.936507936507937,19.0,21.19709763823081
Power Unlimited,64,5.390625,5.0,7.172737600284823,21.8125,16.0,18.53311065299591
games(TM),64,7.375,5.0,9.594145039951139,12.84375,8.5,17.49781732420107
GameSpy,64,6.671875,5.0,8.797081383789505,13.015625,10.5,17.313397131646212
3DJuegos,63,5.2063492063492065,3.0,6.805392277841119,23.96825396825397,11.0,22.845414297602122
Gamersky,62,5.741935483870968,4.0,6.258574234940176,26.177419354838708,19.5,21.69926292835902
DarkStation,62,5.516129032258065,5.0,5.977748267717085,16.258064516129032,10.0,19.6171446400505
But Why Tho?,60,9.4,6.5,12.233417232120436,23.333333333333332,22.5,18.734873370962205
LEVEL (Czech Republic),59,10.016949152542374,7.0,12.687587181885862,16.372881355932204,12.0,16.20326755943293
PlayStation LifeStyle,59,6.830508474576271,5.0,7.875084072728518,27.423728813559322,19.0,22.14534106573191
LevelUp,58,5.948275862068965,5.0,7.448329776193481,26.724137931034484,19.5,20.54310976317076
Softpedia,57,7.245614035087719,6.0,8.279348950709775,24.912280701754387,22.0,20.28694531899615
Noisy Pixel,57,6.912280701754386,5.0,8.361131580310056,20.428571428571427,17.5,18.763289662557547
GameSpew,57,5.771929824561403,4.0,6.84458698003892,21.140350877192983,17.0,17.469647863973336
Game Over Online,57,4.5964912280701755,3.0,6.2539210757775905,13.298245614035087,8.0,15.520481253681043
GAMES.CH,56,5.875,5.0,5.567501946302123,25.732142857142858,20.0,17.763882443894957
Gamereactor UK,56,7.303571428571429,6.0,9.453217002074568,18.821428571428573,15.0,16.074178696879688
We Got This Covered,56,10.214285714285714,8.0,13.38068971102974,25.410714285714285,18.0,23.570610965749303
GameGrin,55,9.527272727272727,7.0,12.41951868811527,22.25925925925926,16.5,18.83259585576738
Vgames,54,6.777777777777778,5.0,8.873676710630148,19.74074074074074,14.5,16.244205546485738
Cubed3,53,10.18867924528302,7.0,12.0373451306301,16.81132075471698,12.0,20.724591872286876
New Game Network,53,7.320754716981132,6.0,7.0889537734648975,23.528301886792452,15.0,24.83871048306531
SECTOR.sk,52,6.038461538461538,4.0,8.457149554205726,21.615384615384617,19.0,16.021008078431596
TechRadar Gaming,52,8.288461538461538,5.5,10.749776384078523,19.557692307692307,14.5,18.179295982333116
Digitally Downloaded,51,11.627450980392156,8.0,15.988966784114895,23.862745098039216,18.0,22.730561615863103
Armchair Empire,51,5.0,4.0,6.5818526505631745,8.882352941176471,7.0,8.250965481236062
G4 TV,51,7.490196078431373,6.0,8.734425915790423,13.46,12.0,15.801382011374441
1UP,51,7.2745098039215685,5.0,9.777565357169722,13.392156862745098,11.0,16.379063632888055
MGG,50,5.86,5.0,7.800601755961013,24.1,16.0,22.606925072297866
BaziCenter,50,6.04,5.0,8.10633413209846,23.58,16.5,20.683908760982607
Merlin'in Kazanı (Turkey),50,4.12,3.0,5.504135736342413,23.04,12.0,21.810164265913322
Thunderbolt,50,6.18,5.0,7.938256632746698,11.08,10.5,13.262745121703324
Slant Magazine,49,12.551020408163266,7.0,13.619151681254115,13.795918367346939,13.0,16.13387339569452
Gamers' Temple,49,6.061224489795919,4.0,8.456973936536953,20.428571428571427,14.0,23.04090934406367
GamePro Germany,49,5.1020408163265305,3.0,7.334048357225527,21.755102040816325,18.0,18.010885786177234
Eurogamer Germany,48,8.729166666666666,6.0,11.036187252761444,20.208333333333332,15.0,18.86495493826304
WellPlayed,48,6.166666666666667,5.0,8.134398546685063,21.8125,18.0,17.493755218111566
AceGamez,48,6.458333333333333,5.0,9.523394114547235,13.354166666666666,11.0,16.15317580701957
PCGamesN,47,6.702127659574468,5.0,8.39077948634864,22.148936170212767,19.0,20.142393196943544
Malditos Nerds,47,7.0,6.0,9.095901833092846,19.80851063829787,12.0,20.570921520702854
Oyungezer,46,5.108695652173913,4.0,6.973136860922739,18.565217391304348,14.0,18.392920293096815
Attack of the Fanboy,46,9.23913043478261,6.0,12.182370250798332,26.391304347826086,19.0,23.332298113681397
Playstation Official Magazine UK,46,5.869565217391305,5.0,7.583353240935806,26.804347826086957,15.0,23.96496033110628
Siliconera,45,8.355555555555556,6.0,11.189280584559492,17.84090909090909,14.5,18.9112062262097
VGC,45,10.377777777777778,7.0,13.451859546268139,23.177777777777777,18.0,21.323079922322137
Dexerto,45,9.222222222222221,6.0,11.308886288707173,18.91111111111111,14.0,18.607129077997296
RPG Fan,45,7.2,6.0,8.91525760602677,16.288888888888888,12.0,17.670325521631003
TierraGamer,45,6.4,5.0,7.3527978595658645,25.755555555555556,21.0,18.461453153131053
Yahoo!,45,5.888888888888889,5.0,7.066566608782772,11.644444444444444,11.0,11.214078453245971
Pelit (Finland),44,6.068181818181818,3.0,8.792745183655299,14.295454545454545,7.0,15.93437585969576
PSX Brasil,43,6.790697674418604,6.0,6.3825967699862725,27.071428571428573,23.5,17.102835105359432
Gamestyle,43,9.116279069767442,5.0,12.155188839559832,14.395348837209303,11.0,19.23028826385511
IGN Adria,42,7.0,5.0,10.006269811476686,21.928571428571427,18.0,18.94433743951124
Hey Poor Player,42,9.571428571428571,7.5,11.796966085691075,16.146341463414632,8.0,17.866954099131945
Telegraph,42,6.785714285714286,6.0,8.309245092483952,18.0,11.0,19.39521116223988
GameWatcher,41,7.073170731707317,4.0,10.625728095569528,19.878048780487806,13.0,21.0009581662942
GAMINGbible,41,8.073170731707316,6.0,9.452383877922529,19.902439024390244,14.0,16.418720724949992
GLHF on Sports Illustrated,41,8.439024390243903,6.0,10.507024363520328,17.73170731707317,14.0,16.578968457716275
GameShark,41,7.341463414634147,6.0,9.442573543370008,15.439024390243903,12.0,20.02742022766811
MMORPG.com,40,5.45,4.0,7.116430969495155,21.175,16.5,19.586740020110152
Finger Guns,40,8.65,7.0,10.262703197651042,17.425,16.5,13.36506640462366
PALGN,40,5.75,4.0,8.545504141104901,11.8,8.0,16.61625709959978
Player 2,39,8.564102564102564,7.0,10.500498028160674,26.846153846153847,23.0,19.327666813494105
Eurogamer Poland,39,8.23076923076923,6.0,9.799405088114874,15.487179487179487,11.0,16.097040406594996
Het Nieuwsblad,39,12.564102564102564,10.0,14.957835475270583,20.512820512820515,16.0,21.45226631604379
NME,39,11.307692307692308,10.0,13.66269979623344,23.153846153846153,17.0,22.022930020632067
GameSkinny,39,6.897435897435898,5.0,9.295711721555074,21.846153846153847,16.0,18.45931441844253
Game Chronicles,39,5.487179487179487,4.0,6.466460756074497,12.897435897435898,10.0,14.652428372797903
Play Magazine,39,8.615384615384615,5.0,13.103913560737778,14.333333333333334,11.0,14.947050043177494
Gamers Heroes,38,9.342105263157896,7.0,11.1545779310266,21.394736842105264,18.0,15.61578604574416
Critical Hit,38,5.078947368421052,3.0,6.358034980978451,22.55263157894737,10.5,22.197436192992267
VG247,38,7.657894736842105,7.0,8.712778993004404,24.68421052631579,19.5,18.993597783378398
GameTrailers,38,3.263157894736842,2.0,4.930527311886373,10.052631578947368,8.0,7.978456055163936
Electronic Gaming Monthly,38,4.868421052631579,3.5,7.046936725411176,12.552631578947368,10.0,15.019783066244374
Inverse,37,7.702702702702703,7.0,9.139065735758908,18.77777777777778,17.0,15.555430838502307
AusGamers,37,8.0,6.0,11.006072579882145,20.0,14.0,21.621262196712266
GGRecon,37,9.08108108108108,7.0,11.224972160321824,22.81081081081081,19.0,19.01248207032618
MeuPlayStation,37,5.783783783783784,5.0,6.005252955793208,26.243243243243242,23.0,16.843075407691707
NZGamer,37,4.864864864864865,3.0,6.27581754721135,13.945945945945946,9.0,14.821865189229312
INVEN,36,5.277777777777778,4.0,5.58455921154943,22.916666666666668,16.5,17.52121163455476
Stevivor,36,9.222222222222221,6.0,11.870732315838215,19.444444444444443,13.0,20.232850861118262
ComicBook,35,8.771428571428572,7.0,11.075523775007497,23.885714285714286,19.0,20.31818327086778
Eurogamer Portugal,35,8.857142857142858,6.0,10.57323400435857,14.714285714285714,11.0,15.159820845485836
GamesHub,35,7.914285714285715,6.0,10.03548326538129,22.914285714285715,20.0,17.376357936174383
GameSpace,34,7.5,5.0,10.639322683600465,25.91176470588235,15.0,24.131565263524372
Gameplanet,34,4.352941176470588,4.0,5.353460240058712,11.264705882352942,9.0,12.312226000642983
Daily Star,34,11.382352941176471,12.0,12.232047851950483,26.558823529411764,19.5,19.833374526238323
LaPS4,34,5.676470588235294,4.5,5.973276793404428,25.529411764705884,17.5,22.351510414853667
Total Video Games,34,6.588235294117647,5.0,8.087092772975748,8.970588235294118,9.0,9.150212099272649
Gamepressure,33,7.0,6.0,9.026895838816824,18.272727272727273,13.0,17.33613759367024
Video Chums,33,5.818181818181818,5.0,7.653108894924713,15.90625,9.5,17.490521626703806
GameMAG,33,9.333333333333334,7.0,10.016463720023422,18.454545454545453,15.0,18.83480820183736
PLAY,33,9.363636363636363,8.0,11.426643506217468,19.939393939393938,15.0,20.3949637277085
Official Xbox Magazine,33,6.515151515151516,6.0,8.42783537398003,12.272727272727273,12.0,12.353535869735778
GamersRD,32,12.65625,11.0,16.941282609401593,23.90625,18.5,22.95259402726945
Windows Central,32,7.375,7.0,8.214611293888312,25.21875,21.5,22.66229549486932
Riot Pixels,32,13.25,14.0,12.112377034230516,13.46875,10.0,18.606033317353045
USgamer,32,5.71875,3.5,6.970487903504548,19.21875,11.0,20.642477931713778
Digital Spy,32,6.65625,6.0,8.137862028020429,15.387096774193548,12.0,12.727077222349832
The Jimquisition,32,14.3125,11.5,14.512369584865937,12.9375,8.5,16.643195839199137
Hooked Gamers,31,8.935483870967742,8.0,9.962834160826377,24.580645161290324,22.0,16.38856144500057
Gfinity,31,10.67741935483871,7.0,13.804315983957562,18.806451612903224,15.0,19.265490904333227
Easy Allies,31,6.032258064516129,4.0,9.014683362660735,15.580645161290322,11.0,15.255529580965025
Trusted Reviews,31,5.419354838709677,3.0,7.247691512341327,24.451612903225808,12.0,23.611005270688352
Computer and Video Games,31,3.3225806451612905,3.0,4.731727730103239,9.161290322580646,7.0,9.966179367380246
PSX Extreme,31,3.6774193548387095,3.0,4.631588593908769,15.258064516129032,9.0,15.52583694694833
IGN Portugal,30,6.566666666666666,5.5,8.215838362577491,21.0,16.0,18.620962109543573
IGN Japan,30,6.966666666666667,6.0,8.949475037580465,20.4,12.0,22.4341693410518
ActionTrip,30,3.9,2.0,6.463069268375212,9.733333333333333,5.5,9.744081610741036
AtomicGamer,30,3.9,1.5,7.005826803126259,9.8,8.0,8.931669084985076
Jolt Online Gaming UK,29,5.448275862068965,3.0,8.557973840586195,12.862068965517242,8.0,18.516934068323526
InsideGamer.nl,29,3.7241379310344827,2.0,4.595457169965272,14.793103448275861,6.0,18.490178460669036
Forbes,29,6.620689655172414,5.0,7.364874697531848,38.241379310344826,38.0,27.553932783228245
Ragequit.gr,28,6.392857142857143,5.0,7.098978986129107,26.5,21.0,20.36427518238014
The Enemy,28,8.571428571428571,6.5,10.407821641570887,21.75,15.5,21.498461862046373
TrueGaming,28,4.785714285714286,4.0,5.639524164699785,25.035714285714285,15.5,23.06429362047839
Gamer 2.0,28,3.5,2.0,5.522440990844039,7.964285714285714,7.0,8.18333252513493
GameCrate,27,7.0,5.0,9.447561074500141,22.074074074074073,17.0,17.946501694673618
App Trigger,27,8.666666666666666,6.0,11.693132374575459,26.37037037037037,18.0,21.680140452231623
NintendoWorldReport,27,5.2592592592592595,4.0,7.148605745357909,14.962962962962964,10.0,18.50994958443252
4Players.de,27,7.851851851851852,5.0,10.846376106510167,24.14814814814815,16.0,23.53938325663109
Game World Navigator Magazine,26,5.961538461538462,4.0,7.57495874576225,13.26923076923077,7.0,15.932212169544586
Play.tm,26,3.6538461538461537,2.0,6.003204272591558,8.307692307692308,7.0,8.023810719448612
GamerNode,26,3.8461538461538463,2.5,5.201774845037177,12.346153846153847,9.0,17.46156218229497
Post Arcade (National Post),26,4.3076923076923075,4.0,5.03526028660348,15.576923076923077,10.0,14.988662381947229
Giant Bomb,26,8.461538461538462,6.0,10.771186635578344,12.192307692307692,11.0,9.869377659438076
Kombo,26,4.153846153846154,2.5,6.278657377301174,10.653846153846153,10.0,8.256745494070055
TeamXbox,26,4.384615384615385,3.0,5.946944917027048,8.5,9.0,5.817348060889812
Gameliner,25,9.04,7.0,12.428059650108969,21.96,22.0,16.635804759614125
GamesBeat,25,5.32,4.0,6.857599191164986,16.04,10.0,18.596325801978555
Official Xbox Magazine UK,25,6.24,4.0,8.60658662498283,9.32,7.0,10.132949554136085
My Gamer,25,4.32,4.0,4.79131158104612,6.64,5.0,9.218098140795277
KeenGamer,24,5.875,4.5,5.682256900058363,21.166666666666668,17.5,15.014968377000294
TotalGames.net,24,7.416666666666667,4.0,10.664515181571595,12.0,8.0,13.389128974789857
Games Radar,24,4.541666666666667,3.5,6.612323803849637,9.041666666666666,8.0,8.907637986175326
The Sydney Morning Herald,24,5.625,5.0,5.643869317194119,18.916666666666668,11.0,16.841116008323116
DarkZero,24,6.208333333333333,4.5,7.784111465308538,12.791666666666666,11.0,13.435770448181671
The Digital Fix,23,6.739130434782608,6.0,8.176656254844117,14.608695652173912,9.0,18.20252773134206
PC Invasion,23,6.695652173913044,5.0,8.880408778826084,21.043478260869566,16.0,17.022537954693252
EGM,23,6.869565217391305,3.0,9.192925618263475,21.782608695652176,15.0,20.96948658381823
Extreme Gamer,23,5.3478260869565215,4.0,6.834867593433164,10.478260869565217,9.0,7.070788317495444
PCMag,22,6.5,5.5,7.520966365097976,19.045454545454547,12.0,19.8869641220409
Washington Post,22,6.818181818181818,6.0,8.45256691460573,13.818181818181818,11.0,16.873863598099657
PGNx Media,22,5.181818181818182,4.0,5.594524224516443,12.318181818181818,10.0,9.015258830166319
Level7.nu,22,7.909090909090909,5.0,7.968009631594172,9.545454545454545,9.0,12.801515061850605
GameDaily,22,5.7727272727272725,5.0,6.352727198388331,9.045454545454545,8.0,12.564724205978195
The A.V. Club,22,5.2727272727272725,4.0,7.487941243710722,12.681818181818182,11.0,11.603570878951752
Boomtown,22,5.409090909090909,5.0,5.745881265319665,7.318181818181818,8.5,8.71196122570965
X-ONE Magazine UK,22,7.181818181818182,5.5,9.480442388348123,14.590909090909092,11.5,18.044737573945323
eToychest,22,7.863636363636363,4.0,12.105685401810963,13.136363636363637,9.0,16.786216258497813
IGN Deutschland,21,5.523809523809524,5.0,6.716716885077538,14.904761904761905,12.0,12.477598975382891
Voxel,21,8.476190476190476,8.0,8.9514563858945,25.38095238095238,26.0,17.405390516952473
Gamekult,21,14.428571428571429,14.0,9.65204148156776,11.523809523809524,8.0,15.164023840907763
The New York Times,21,9.476190476190476,7.0,10.476731587756975,11.476190476190476,6.0,17.19759119345331
XboxAddict,21,4.142857142857143,3.0,5.162133187706323,12.476190476190476,11.0,7.025802784159598
M3,21,6.523809523809524,4.0,8.340092496917697,23.38095238095238,19.0,24.17830589992765
The Loadout,21,7.238095238095238,5.0,8.43292865582804,18.047619047619047,13.0,16.957229108778918
RPGamer,21,6.238095238095238,4.0,7.756410559137826,11.15,11.0,9.321593493773364
Da Gameboyz,21,4.333333333333333,3.0,6.564333644055289,9.095238095238095,7.0,9.526154473218407
Next Level Gaming,21,5.0,4.0,6.049006215113041,10.523809523809524,7.0,10.470593743113774
netjak,21,8.523809523809524,6.0,9.493606871393581,10.0,6.0,14.510259096502
IGN Benelux,20,3.4,2.5,4.149825614598636,19.9,17.5,13.769149344974457
Movies Games and Tech,20,8.1,5.0,10.925585616003913,15.5,12.0,15.511964821761909
Pocket-lint,20,7.55,5.0,10.137346273738714,17.15,15.0,16.46455523077889
GMR Magazine,20,7.25,5.0,10.404831873499422,11.9,9.0,17.245899588933565
Gaming Target,20,3.9,3.5,4.517801048717116,10.4,9.0,9.856336460422433
Play UK,20,3.75,1.5,6.117059837261,12.25,9.0,13.083838966651308
Xbox Achievements,20,4.15,3.0,5.769931131578426,10.6,9.0,7.742568593241692
Gamer's Hell,20,4.95,4.0,7.070137346987197,9.6,5.5,12.96919426949878
Nintendo Life,19,6.7894736842105265,6.0,7.038324494928209,15.210526315789474,11.0,20.373845175897994
Loot Level Chill,19,6.7368421052631575,6.0,5.696515812113648,17.944444444444443,16.0,13.125960904756749
PlayStation Country,19,5.947368421052632,4.0,8.3238542579506,26.63157894736842,19.0,22.059462437714473
Gamezilla!,19,4.105263157894737,2.0,5.9907335852038095,8.842105263157896,7.0,8.144886818523
GamingExcellence,19,5.2105263157894735,2.0,8.451443698256252,11.0,8.0,14.032960365090009
WHAM! Gaming,19,5.421052631578948,3.0,9.091477919471284,9.052631578947368,8.0,10.936018070032171
Planet Xbox 360,19,6.315789473684211,5.0,8.362405429145582,13.0,11.0,10.306416555826871
Console Gameworld,19,4.052631578947368,3.0,4.652861786795041,11.631578947368421,8.0,16.042706163631856
Deeko,19,5.631578947368421,4.0,7.703192928036381,11.894736842105264,10.0,14.056277863233248
RPG Site,18,5.833333333333333,4.5,7.285270303749396,12.88888888888889,12.0,12.681621718524989
All Game Guide,18,8.0,6.5,8.337645942907448,7.944444444444445,7.5,10.791094125171027
Polygon,18,8.166666666666666,6.0,9.128172293058709,16.88888888888889,11.0,20.219384990937897
MondoXbox,18,6.722222222222222,6.0,6.626595257436684,16.944444444444443,14.5,11.042549909180035
Nintendojo,18,8.833333333333334,5.0,12.908045826492232,15.833333333333334,12.0,19.355717265182225
GameFocus,18,3.111111111111111,2.5,4.051950228420232,13.166666666666666,10.5,14.31085789164197
NTSC-uk,18,10.666666666666666,6.0,12.29963600077799,8.833333333333334,8.0,11.490405204548091
GIGA,17,4.294117647058823,3.0,5.833473387674438,27.88235294117647,25.0,21.187017389957298
IGN Brasil,17,4.470588235294118,4.0,5.615105677073752,18.647058823529413,12.0,19.092653345323846
Try Hard Guides,17,14.647058823529411,13.0,13.840477720418892,26.941176470588236,26.0,16.863857977412906
Carole Quintaine,17,7.0,6.0,6.5282192869743225,22.11764705882353,19.0,14.598297644507975
Adrenaline Vault,17,8.411764705882353,5.0,11.490405204548091,10.941176470588236,10.0,12.844087676253777
Playstation Official Magazine Australia,17,5.823529411764706,5.0,6.533285814152919,12.411764705882353,11.0,7.802243267163617
Console Monster,17,2.764705882352941,1.0,4.342844012585193,9.705882352941176,8.0,6.422616289332565
Xbox World 360 Magazine UK,17,8.117647058823529,4.0,12.948143178259418,16.41176470588235,9.0,22.772048139563296
Electric Playground,16,6.1875,5.5,7.850424616966057,7.8125,4.0,12.568313331549305
Computer Games Magazine,16,10.8125,7.5,12.811290593326914,15.625,13.5,18.237324365158393
